DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.20935/al696,10.20935,"The Petals of Blood Revolution: Ngugi wa Thiong’o, Kenyatta and the British",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al696,2021-3-20,2021-3-20,2021-3-20,2022-3-8,2021-6-17,0,0,journal-article,9563
10.20935/al1208,10.20935,How do Governments add value to society? or What are Governments for?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1208,2021-6-18,2021-6-18,2021-6-18,2022-3-8,2021-6-22,0,0,journal-article,9563
10.20935/al808,10.20935,A Note on Fractal Interpolation vs Fractal Regression,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al808,2021-3-20,2021-3-20,2021-3-20,2022-3-8,2021-4-26,0,1,journal-article,9563
10.20935/al506,10.20935,Islamic Origins: Anti-Theopaschism and Trisagion in the Near East in the early 600s,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al506,2021-3-11,2021-3-11,2021-3-11,2022-3-8,2021-5-6,0,0,journal-article,9563
10.20935/al872,10.20935,The Anti-Fragility of Popular Economies and the Digital Urban Infrastructure in Indonesia,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al872,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-4-27,0,0,journal-article,9563
10.20935/al1229,10.20935,"Making Europe responsive to the challenges of the future: European Solidarity Mechanism, Green New Deal, Full Employment Targets",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1229,2021-6-22,2021-6-22,2021-6-22,2022-3-8,2021-6-25,0,0,journal-article,9563
10.20935/al655,10.20935,Fluid regime during the formation of continental crust,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al655,2021-3-18,2021-3-18,2021-3-18,2022-3-8,2021-5-19,0,0,journal-article,9563
10.20935/al444,10.20935,Is the Jew in Romans 2:17 Really a Gentile? Second Thoughts on a Recent Interpretation,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al444,2021-3-4,2021-3-4,2021-3-4,2022-3-8,2021-5-18,0,0,journal-article,9563
10.20935/al861,10.20935,Dronica as an option for the security and defense of cities,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al861,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-5-11,0,0,journal-article,9563
10.20935/al1191,10.20935,Co-evolutionary Dynamics of Human Behaviour and Water Resource Systems Performance: A Socio-Hydrological Framework,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1191,2021-6-17,2021-6-17,2021-6-17,2022-3-8,2021-6-18,0,0,journal-article,9563
10.20935/al1304,10.20935,Acquired Brain Injuries Associated with Chronic Substance Misuse:  A Review of Current Literature,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1304,2021-6-25,2021-6-25,2021-6-25,2022-3-8,2021-6-28,0,0,journal-article,9563
10.20935/al1511,10.20935,COVID-19-Pandemics and Migration in the Context of Canadian Scenario,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1511,2021-7-2,2021-7-2,2021-7-2,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al1366,10.20935,Are Marketers ready to deliver the Data Driven Marketing as promise?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1366,2021-6-30,2021-6-30,2021-6-30,2022-3-8,2021-6-30,0,0,journal-article,9563
10.20935/al864,10.20935,Giovanni Pico Della Mirandola and Christian Cabala,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al864,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-4-25,0,0,journal-article,9563
10.20935/al486,10.20935,A Note to the History of Time,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al486,2021-3-10,2021-3-10,2021-3-10,2022-3-8,2021-4-13,0,0,journal-article,9563
10.20935/al538,10.20935,Hypothesis: The COVID-19 Pandemic is Signaling Humanity’s Global Overshoot,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al538,2021-3-16,2021-3-16,2021-3-16,2022-3-8,2021-4-11,0,0,journal-article,9563
10.20935/al495,10.20935,Too much of a good thing:  Escalating developmental needs in the educator—student relationship,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al495,2021-3-11,2021-3-11,2021-3-11,2022-3-8,2021-4-12,0,0,journal-article,9563
10.20935/al452,10.20935,"The theme of Queer Pride and Shame through Alison Bechdel’s ""Fun Home"" and Maggie Nelson’s ""The Argonauts"".",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al452,2021-3-4,2021-3-4,2021-3-4,2022-3-8,2021-4-9,0,0,journal-article,9563
10.20935/al1177,10.20935,COVID-19: Progress and Challenges towards Diagnostic Development,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1177,2021-6-17,2021-6-17,2021-6-17,2022-3-8,2021-6-25,0,0,journal-article,9563
10.20935/al739,10.20935,Class and Education,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al739,2021-3-20,2021-3-20,2021-3-20,2022-3-8,2021-4-26,0,1,journal-article,9563
10.20935/al945,10.20935,"Use of pesticides in tomato crop and its impact on the nutritional quality of vegetables and the health status of market gardeners in rural health zones of South Kivu Province, Eastern of the Democratic Republic of Congo",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al945,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-4-14,0,0,journal-article,9563
10.20935/al770,10.20935,Fragments of Grief,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al770,2021-3-20,2021-3-20,2021-3-20,2022-3-8,2021-4-26,0,0,journal-article,9563
10.20935/al287,10.20935,An Introduction to the Letter to Diognetus,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al287,2021-2-5,2021-2-5,2021-2-5,2022-3-8,2021-4-28,0,0,journal-article,9563
10.20935/al353,10.20935,The plurivocity of art criticism,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al353,2021-2-17,2021-2-17,2021-2-17,2022-3-8,2021-5-21,0,0,journal-article,9563
10.20935/al942,10.20935,Abolishing Whiteness: The Art World’s Reception of Emily Kame Kngwarreye,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al942,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-5-4,0,0,journal-article,9563
10.20935/al717,10.20935,Wollstonecraft’s Feminist Virtue Ethics: Friendship and the Good Society,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al717,2021-3-20,2021-3-20,2021-3-20,2022-3-8,2021-4-27,0,0,journal-article,9563
10.20935/al314,10.20935,"CML-COVID: A LARGE-SCALE COVID-19 TWITTER DATASET WITH LATENT TOPICS, SENTIMENT AND LOCATION INFORMATION",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al314,2021-2-17,2021-2-17,2021-2-17,2022-3-8,2021-4-28,0,1,journal-article,9563
10.20935/al465,10.20935,The Metaphor of Prometheus in Blumenberg,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al465,2021-3-10,2021-3-10,2021-3-10,2022-3-8,2021-4-27,0,0,journal-article,9563
10.20935/al152,10.20935,Realism and the Failure of Science: Reversing the No Miracle Argument,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al152,2021-1-7,2021-1-7,2021-1-7,2022-3-8,2021-5-19,0,0,journal-article,9563
10.20935/al1205,10.20935,UNDERSTANDING AND COUNTERING GAPS IN ENGLISH LANGUAGE TEACHING IN A VERNACULAR MEDIUM SCHOOL IN CONTEMPORARY INDIA,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1205,2021-6-18,2021-6-18,2021-6-18,2022-3-8,2021-6-24,0,0,journal-article,9563
10.20935/al1566,10.20935,Can a Power of Attorney transfer Title to Land?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1566,2021-7-2,2021-7-2,2021-7-2,2022-3-8,2021-7-15,0,0,journal-article,9563
10.20935/al1785,10.20935,Ethics and the Resilient Society: Examining the role of ethics in building societal resilience,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1785,2021-7-13,2021-7-13,2021-7-13,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1683,10.20935,Have fan forums been swallowed up by social media companies?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1683,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al531,10.20935,Interplanetary institutionalization:  Should humans become space faring?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al531,2021-3-16,2021-3-16,2021-3-16,2022-3-8,2021-5-11,0,0,journal-article,9563
10.20935/al110,10.20935,Psychology and Narrative,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al110,2020-12-29,2020-12-29,2020-12-29,2022-3-8,2021-6-16,0,0,journal-article,9563
10.20935/al1056,10.20935,Systemic strategic design: from aesthesis to every day’s life,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1056,2021-6-11,2021-6-11,2021-6-11,2022-3-8,2021-6-28,0,0,journal-article,9563
10.20935/al275,10.20935,A decision framework for Blended Learning in the Covid-19 Pandemic,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al275,2021-2-5,2021-2-5,2021-2-5,2022-3-8,2021-4-29,0,0,journal-article,9563
10.20935/al79,10.20935,Can Social Design help diversify museum audiences? A thought-piece,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al79,2020-12-11,2020-12-11,2020-12-11,2022-3-8,2021-4-27,0,0,journal-article,9563
10.20935/al449,10.20935,"Juana Dib, a Mahyar Poet",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al449,2021-3-4,2021-3-4,2021-3-4,2022-3-8,2021-4-13,0,0,journal-article,9563
10.20935/al487,10.20935,What May Stand in the Way of Success at Language Learning?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al487,2021-3-10,2021-3-10,2021-3-10,2022-3-8,2021-4-26,0,0,journal-article,9563
10.20935/al900,10.20935,Police Education,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al900,2021-4-12,2021-4-12,2021-4-12,2022-3-8,2021-5-28,0,0,journal-article,9563
10.20935/al1233,10.20935,On Aaron Gare’s Dramatization of Western Philosophy,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1233,2021-6-22,2021-6-22,2021-6-22,2022-3-8,2021-6-23,0,0,journal-article,9563
10.20935/al1027,10.20935,Pandemic Festival Celebration Some Reflections for Buhayani Festival,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1027,2021-6-10,2021-6-10,2021-6-10,2022-3-8,2021-6-12,0,0,journal-article,9563
10.20935/al976,10.20935,CHOLERA PATHOPHYSIOLOGY: HAVE WE MISSED THE BOAT?,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al976,2021-5-19,2021-5-19,2021-5-19,2022-3-8,2021-6-1,0,0,journal-article,9563
10.20935/al536,10.20935,"Practice Good Medicine to Cure ""Patient"" Healthcare",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al536,2021-3-16,2021-3-16,2021-3-16,2022-3-8,2021-6-17,0,0,journal-article,9563
10.20935/al1188,10.20935,Does Post Displacement Anxiety Affect Pupils’ Achievement? An Impact Assessment of Internally Displaced Persons’ Camps in Plateau State Nigeria,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1188,2021-6-17,2021-6-17,2021-6-17,2022-3-8,2021-6-18,0,0,journal-article,9563
10.20935/al1633,10.20935,Nation State and Armed Conflicts,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1633,2021-7-8,2021-7-8,2021-7-8,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al1185,10.20935,Archives of Unfair Trade in Amitav Ghosh's Fiction,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1185,2021-6-17,2021-6-17,2021-6-17,2022-3-8,2021-6-17,0,0,journal-article,9563
10.20935/al1066,10.20935,THE DIVERSION OF THE CRIME COMMITTED BY THE CHILD,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1066,2021-6-11,2021-6-11,2021-6-11,2022-3-8,2021-6-17,0,0,journal-article,9563
10.20935/al1239,10.20935,"Kerberoasting: Origins, Definition, and Mitigation Approaches",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1239,2021-6-22,2021-6-22,2021-6-22,2022-3-8,2021-6-23,0,0,journal-article,9563
10.20935/al1288,10.20935,THE URBANIZATION PROCESS AND SPACE PRODUCING AGENTS,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1288,2021-6-25,2021-6-25,2021-6-25,2022-3-8,2021-6-28,0,0,journal-article,9563
10.20935/al1573,10.20935,Human Mind's Transformation is Crucial for Self Realization,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1573,2021-7-7,2021-7-7,2021-7-7,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al569,10.20935,An analysis of how Shakespeare matures his technique of presenting rivalry between the protagonist and the antagonist in his plays: from Richard II to Henry IV,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al569,2021-3-17,2021-3-17,2021-3-17,2022-3-8,2021-4-26,0,0,journal-article,9563
10.20935/al1897,10.20935,Reality dawns on Brexit Britain’s Revolution,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1897,2021-7-14,2021-7-14,2021-7-14,2022-3-8,2021-7-15,0,0,journal-article,9563
10.20935/al143,10.20935,A reflection on the relationship betweenDiglossia and its Effects on ModernStandard Arabic Lexical Variation and the Mental Lexicon,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al143,2021-1-7,2021-1-7,2021-1-7,2022-3-8,2021-5-27,0,0,journal-article,9563
10.20935/al1194,10.20935,network topology,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1194,2021-6-17,2021-6-17,2021-6-17,2022-3-8,2021-6-18,0,0,journal-article,9563
10.20935/al1273,10.20935,Once More A Queer Virus,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1273,2021-6-24,2021-6-24,2021-6-24,2022-3-8,2021-6-29,0,0,journal-article,9563
10.20935/al1354,10.20935,THE DOCTRINE OF TRADEMARK FUNCTIONS AS A RESTRICTION MECHANISM,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1354,2021-6-29,2021-6-29,2021-6-29,2022-3-8,2021-7-16,0,0,journal-article,9563
10.20935/al1649,10.20935,Labor and cultural mediation in Purhépecha migration with H-2A visa,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1649,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1808,10.20935,Two Paths Ahead for Kenya: Capitalism or Socialism,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1808,2021-7-13,2021-7-13,2021-7-13,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al1664,10.20935,Critical and analytical reasoning as a mediation tool,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1664,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1660,10.20935,A model of the spirit that could explain some anomalous phenomena of consciousness,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1660,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1873,10.20935,Architecture and the Environment – New Delhi’s Pollution Crisis,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1873,2021-7-14,2021-7-14,2021-7-14,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al567,10.20935,Financial System Regulation in a Pandemic: Evidence from Nigeria,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al567,2021-3-17,2021-3-17,2021-3-17,2022-3-8,2021-5-17,0,0,journal-article,9563
10.20935/al1289,10.20935,Emotional indicators in children with obesity,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1289,2021-6-25,2021-6-25,2021-6-25,2022-3-8,2021-6-28,0,0,journal-article,9563
10.20935/al1201,10.20935,Astérix and the impossible text. Adaptation and intertextuality in Historical Fiction.,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1201,2021-6-18,2021-6-18,2021-6-18,2022-3-8,2021-6-24,0,0,journal-article,9563
10.20935/al2267,10.20935,Camus and the Absurd,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al2267,2021-7-19,2021-7-19,2021-7-19,2022-3-8,2021-7-21,0,0,journal-article,9563
10.20935/al1143,10.20935,A review on sales research in the Latin American zone,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1143,2021-6-15,2021-6-15,2021-6-15,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1699,10.20935,The Need For The Determining Factors of Induced Abortion In Nigeria,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1699,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1926,10.20935,A Point-Based Ship Route Prediction Algorithm based on Multiclass Classification,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1926,2021-7-14,2021-7-14,2021-7-14,2022-3-8,2021-7-20,0,0,journal-article,9563
10.20935/al2259,10.20935,Safeguarded or falling behind?  The controversial issue of young learners and the use of technology.,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al2259,2021-7-17,2021-7-17,2021-7-17,2022-3-8,2021-7-18,0,0,journal-article,9563
10.20935/al1206,10.20935,Production of nanofibers of pullulan biopolymer by electrospinning process,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1206,2021-6-18,2021-6-18,2021-6-18,2022-3-8,2021-6-22,0,0,journal-article,9563
10.20935/al972,10.20935,Use of Reclaimed Asphalt Pavement (RAP) and oily residues as pavement at low temperatures for low traffic roads,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al972,2021-5-18,2021-5-18,2021-5-18,2022-3-8,2021-5-28,0,0,journal-article,9563
10.20935/al1565,10.20935,Electronic Medical Record and Electronic Health Record have potential to  improve quality of care,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1565,2021-7-2,2021-7-2,2021-7-2,2022-3-8,2021-7-15,0,0,journal-article,9563
10.20935/al1642,10.20935,Catholic Church Persist in Ignoring Roots of Clergy Sexual Abuse,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1642,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-15,0,0,journal-article,9563
10.20935/al1017,10.20935,Remote working during the pandemic and Technostress,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1017,2021-6-10,2021-6-10,2021-6-10,2022-3-8,2021-7-12,0,0,journal-article,9563
10.20935/al1869,10.20935,Chronicle of a Death Foretold: A journey towards an Aporia,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1869,2021-7-14,2021-7-14,2021-7-14,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al1690,10.20935,Bridging the widening riot and civil disorder protection gap in the global insurance industry,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1690,2021-7-12,2021-7-12,2021-7-12,2022-3-8,2021-7-13,0,0,journal-article,9563
10.20935/al1537,10.20935,Urbanization and the Increasing Threat of Infectious Diseases in Africa: Preliminary Observations,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1537,2021-7-2,2021-7-2,2021-7-2,2022-3-8,2021-7-14,0,0,journal-article,9563
10.20935/al1111,10.20935,COVID-19 Body Snatching in Indonesia: Ancient Crime in Modern Time,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1111,2021-6-14,2021-6-14,2021-6-14,2022-3-8,2021-7-1,0,0,journal-article,9563
10.20935/al1596,10.20935,Navigating new waters: A student’s guide to studying abroad,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1596,2021-7-7,2021-7-7,2021-7-7,2022-3-8,2021-7-9,0,0,journal-article,9563
10.20935/al1567,10.20935,Identity VS Education,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1567,2021-7-2,2021-7-2,2021-7-2,2022-3-8,2021-7-15,0,0,journal-article,9563
10.20935/al1796,10.20935,Plastic quantification in the Tagus estuary from stormwater run-off. Case-study,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al1796,2021-7-13,2021-7-13,2021-7-13,2022-3-8,2021-7-14,0,0,journal-article,9563
