given,family,sequence,affiliation,DOI
Yaakov,Stein,first,Tel Aviv University,10.20935/al2919
Tonja,Cox,additional,Rasmussen University,10.20935/al3520
Greg,Emery,first,,10.20935/al2605
Samuel Maireg,Biresaw,first,Debre Tabor University School of Law,10.20935/al3544
Md Sadique,Hussain,first,Jaipur National University,10.20935/al4331
Mike,Sosteric,first,Athabasca University,10.20935/al4524
Johnson,Olusola,first,"Institute of Ecology and Environmental Studies, Obafemi Awolowo University",10.20935/al4631
Aladesanmi,Agbelade,additional,"Department of Forest Resources and Wildlife Management, Faculty of Agricultural Sciences, Ekiti State University",10.20935/al4631
Gasser,Shahin,first,October University For Modern Sciences and Arts,10.20935/al3549
Adamkolo,Ibrahim,first,University of Maiduguri,10.20935/al2411
Obi,Omotayo,first,,10.20935/al2749
Bao,Tran,first,,10.20935/al4477
Andrea,Fulco,additional,,10.20935/al3822
Realito Adamugy Ussene,Momade,additional,,10.20935/al3599
Kenneth,Macdonald,first,"Nuffield College, University of Oxford",10.20935/al3622
Gen,Cafino,first,,10.20935/al2169
Krishna,Shah,additional,Medical College of Georgia,10.20935/al3848
Hilary,Ngwoke,first,"Philosophy Department, University of Nigeria, Nsukka",10.20935/al4055
Anayochukwu Kingsley,Ugwu,additional,"Philosophy Department, University Of Nigeria, Nsukka",10.20935/al4055
Shafiqul,Islam,first,State University of Bangladesh,10.20935/al3971
B.,Agozino,first,Virginia Tech,10.20935/al4043
Ronald,Sims,first,Utah State University,10.20935/al3732
Jason,Peterson,additional,Utah State University,10.20935/al3732
Francisco,Orengo García,first,Psychiatrist,10.20935/al3627
Peer,Norbäck,first,Stockholm University,10.20935/al3786
Christopher Mbuh,Nsoh,additional,University of Gothenburg,10.20935/al3968
Vitalis,Ragul,first,"University of Nairobi, Kenya",10.20935/al3875
Thomas,Pepin,first,Université de Poitiers,10.20935/al3965
Shweta,Sharma,first,"Department of Physiology, All India Institute of Medical Sciences, New Delhi",10.20935/al4809
Dilbag,Singh,additional,"Division of Microbiology, ICAR-Indian Agricultural Research Institute, New Delhi",10.20935/al4809
KP,Kochhar,additional,"Department of Physiology, All India Institute of Medical Sciences, New Delhi",10.20935/al4809
Suman,Jain,additional,"Department of Physiology, All India Institute of Medical Sciences, New Delhi",10.20935/al4809
RK,Gupta,additional,"Department of Zoology, CCS Haryana Agricultural University, Hisar",10.20935/al4809
Divya,MR,additional,"Department of Neurology, All India Institute of Medical Sciences, New Delhi",10.20935/al4809
Joseph,Salzman*,first,Technion Israel Institute of Technology,10.20935/al4794
Rasha,Saeed Badurais,first,Hadhramout University and Universiti Sains Malaysia,10.20935/al3901
Gustav,Milne,additional,Museum of London Archaeology (MOLA),10.20935/al4051
A Amarender,Reddy,first,"ICAR-Indian Agricultural Research Institute, New Delhi",10.20935/al4115
Abbas,Taheri,additional,"Neurosurgeon, Social Medical Adviser, Neuroscience Razi - Berlin, Germany",10.20935/al4802
Adli,Azam,first,"Department of Cardiovascular and Thoracic Surgery, Faculty of Medicine, Universiti Teknologi Mara",10.20935/al4072
Aida,Abdul Aziz,additional,"Department of Radiology, Hospital Sungai Buloh, Selangor",10.20935/al4072
Syazatul Syakirin,Sirul Aflah,additional,"Institut Perubatan Respiratori, Kuala Lumpur",10.20935/al4072
Isaiah,Friday,additional,Rutgers University-Newark,10.20935/al4120
Monty J.,Thornburg,additional,"Sunfield Humanities Research, LLC",10.20935/al4501
Pete,Jones,first,Staffordshire University,10.20935/al3862
Marco,Bevolo,first,Breda University of Applied Sciences,10.20935/al3741
Simon,Priest,first,,10.20935/al3831
Francesco,Galli,first,IULM University,10.20935/al3889
Talawa,Adodo,additional,,10.20935/al4471
Mohammeed,Alghamdi,additional,"University of Tennessee, Knoxville",10.20935/al4521
Deepro,Chakraborty,first,University of Alberta,10.20935/al3954
Jason,Birch,additional,University of Alberta,10.20935/al3954
Dominik,Wujastyk,additional,University of Alberta,10.20935/al3954
Andrey,Klebanov,additional,University of Kyoto,10.20935/al3954
Harshal,Bhatt,additional,The Maharaja Sayajirao University of Baroda,10.20935/al3954
Madhusudan,Rimal,additional,University of Alberta,10.20935/al3954
Vandana,Lele,additional,"Independent Researcher, Baroda",10.20935/al3954
Francois,Hategekimana,first,University of Rwanda,10.20935/al4197
Cedrick,Nsengiyumva,additional,University of Rwanda,10.20935/al4197
Digne,Edmond Rwabuhungu Rwatangabo,additional,University of Rwanda,10.20935/al4197
Trevor,Peck,first,Circle CRM Group Inc.,10.20935/al4534
Dean,Wetzel,additional,WL Heritage Connections,10.20935/al4534
László,Waszlavik,additional,,10.20935/al4552
Lucas,Leiroz de Almeida,first,Federal University of Rio de Janeiro,10.20935/al4426
Dejano,Sobral,first,Universidade de Brasília - UnB,10.20935/al4708
Sesan,Busayo,first,"Kwara State University, Malete-ILORIN",10.20935/al4062
Joseph R.,Guerrero Jr. Ed.D,additional,University of Southern California,10.20935/al4509
Olaide,Gbadamosi,first,Osun State University,10.20935/al4127
Mariam,Haider,first,"Professor of Practice, LUMS",10.20935/al3738
Manahil,Naveed,additional,The Lahore Lyceum School,10.20935/al3738
Hania,Ahmed,additional,,10.20935/al3738
Jenin,Rabaa,additional,,10.20935/al3738
Rao,Bakhtawar,additional,,10.20935/al3738
Dickens,Odongo,additional,"Elizabeth Glaser Pediatric AIDS Foundation Uganda (EGPAF), Lira University",10.20935/al4123
Davi,R. Bote,first,Universidade de São Paulo,10.20935/al4877
Douglas,Vrieland,additional,,10.20935/al4541
Carolina,Silveira,first,University of the West of Scotland,10.20935/al4294
Thorsten,Brønholt,additional,University of the West of Scotland,10.20935/al4294
Ted,Morrissey,first,Lindenwood University,10.20935/al4554
Adriana,Hickey,first,,10.20935/al2732
Ivo,Carneiro de Sousa,first,East-West Institute for Advanced Studies,10.20935/al3585
Prathibha,M V,first,"Asst. Professor, Department of Psychology - REVA University",10.20935/al4410
Ashok,H S,additional,"Visiting Faculty, CESS |  Rtd. Professor, Dept of Psychology - Bangalore University",10.20935/al4410
Aditi,Ghose,first,Birla Industrial and Technological Museum (National Council of Science Museums),10.20935/al4630
Siddhant Raj,Pandey,first,University of Bristol,10.20935/al3785
Olegário Nelson,Azevedo Pereira,first,"MARE - Marine and Environmental Sciences Centre, Department of Environmental Sciences and Engineering, NOVA School of Science and Technology, NOVA University Lisbon",10.20935/al3747
Maria Rosário,Bastos,additional,"Aberta University, Department of Social Sciences and Management, Porto, Portugal \& CITCEM - Transdisciplinary Research Centre Culture, Space and Memory, Faculty of Arts and Humanities, Porto University, Porto, Portugal",10.20935/al3747
Barakat,Shabsoug,additional,Jordan University of Science and Technology,10.20935/al4740
Keith,Hart,first,"Goldsmiths, University of London",10.20935/al4636
Alfredo,Moscardini,additional,Northumbria University,10.20935/al4824
Kevin,Lawler,additional,University of Kuwait,10.20935/al4824
Mark,McMenamin,first,Mount Holyoke College,10.20935/al3800
Alice,Kris,additional,Mount Holyoke College,10.20935/al3800
Anthony,Durham,first,,10.20935/al4033
Manish,Kumar,first,"Department of Biotechnology, School of Bio Sciences & Technology (Vellore Institute of Technology)",10.20935/al3945
Aaron,Milavec,first,Catherine of Siena Virtual College,10.20935/al3824
Ranjit,Biswas,first,"Visva-Bharati, Santiniketan, India",10.20935/al3975
Muhibul Haque,Bhuyan,first,Southeast University,10.20935/al3216
Gerd,JUNNE,additional,University of Amsterdam,10.20935/al4154
Asmaa,Ali,first,,10.20935/al4018
Piumi,Nakandala,first,,10.20935/al4282
Paul,"Quinnett, Ph.D.",additional,,10.20935/al4235
Godfrey,Onuwa,first,"Department of Agricultural Extension and Management, Federal College of Forestry, Jos, Plateau state, Nigeria",10.20935/al4581
Gregory,Arzoumanidis,additional,,10.20935/al4853
Stephen,Williams,first,,10.20935/al4777
Gary,Stilwell,first,Florida State University,10.20935/al85
Richard T.,Griffiths,first,Leiden University,10.20935/al17
Rebecca,Skaggs,first,Patten University,10.20935/al87
Panayiota (Pollyn),Chrysochou,first,University of Cyprus,10.20935/al41
Masum,Patwary,first,Teesside University,10.20935/al157
Mohammad Rafiul Azam,Khan,additional,,10.20935/al157
Md. Masud Ul,Hasan,additional,,10.20935/al157
Md. Zahid,Hossain,additional,,10.20935/al157
Mohammad Azizur,Rahman,additional,,10.20935/al157
Lynne,Kennette,first,Durham College,10.20935/al203
Morgan,Chapman,additional,,10.20935/al203
Nathan,Nobis,first,Morehouse College,10.20935/al6
Shaista E.,Khilji,first,The George Washington University,10.20935/al215
Christian E.,List,additional,,10.20935/al215
Kristin,Lems,first,National Louis University,10.20935/al304
Raymond,Da-Boi,first,,10.20935/al282
Paul,Schollmeier,first,"University of Nevada, Las Vegas",10.20935/al244
Chris,Dalton,first,University of Reading,10.20935/al348
Howard,Harris,first,University of South Australia,10.20935/al477
Devi,Dayal,first,,10.20935/al564
Latika,Rohilla,additional,,10.20935/al564
PETYA,ANDREEVA,first,"Parsons, The New School for Design",10.20935/al9
Candice,Rowser,first,Fordham University,10.20935/al78
olufemi,taiwo,first,Cornell University,10.20935/al3
Maureen,Metcalf,first,Ohio State University,10.20935/al116
Michael,Morrow-Fox,additional,,10.20935/al116
Erin,Barry,additional,,10.20935/al116
Neil,Grunberg,additional,,10.20935/al116
Todd,Mei,additional,,10.20935/al542
David,Gurr,first,University of Melbourne,10.20935/al29
Arthelo,Palma,additional,,10.20935/al923
Christopher,Green,first,,10.20935/al142
Clive H,Church,additional,,10.20935/al611
Barry H.,Cohen,additional,New York University,10.20935/al92
Yasser A.,Gomaa,first,"Assiut University, Faculty of Arts",10.20935/al240
Jim,Thomas,first,London School of Economics,10.20935/al93
Joel,Wendland-Liu,first,Grand Valley State University,10.20935/al222
Uğur,Tekiner,first,University of Cambridge,10.20935/al237
Manuel,Valdes Pizzini,first,,10.20935/al311
Karsten,Piep,first,Union Institute and University,10.20935/al308
Michael,Crane,first,Gateway Seminary,10.20935/al192
Mourad,Bezzeghoud,first,,10.20935/al581
Marco,Manso,additional,,10.20935/al581
Bill,Psarras,first,University of the Peloponnese,10.20935/al419
Paulo Tiago,Cabeça,first,,10.20935/al454
Nathan,Ron,first,University of Haifa,10.20935/al367
Konstantinos,Kotis,first,University of the Aegean,10.20935/al260
Haven,Allahar,first,,10.20935/al831
Marshall,Deutelbaum,first,Purdue University,10.20935/al299
Joseph,Jordania,first,University of Melbourne,10.20935/al18
